"","sqrt(evictionrate)","povertyrate","perc_16yrs_and_over_unemployed","per_bach_and_up","pctafam","pctasian","pcthispanic","SLT_EXEMPT_TOTAL","SLT_TREMEDIES_TOTAL","SLT_Retaliation","FHP_ExcemptHousing_TOTAL","SLT_LREMEDIES_TOTAL","city","residual"
"1451",2,2,2.17,33.51,30.81,4.74,8.86,6,2,1,7,3,"Kansas City city, KS",0.0197470235930754
"1452",1.84661853126194,21.65,1.47,51.6,7.54,2.25,28.89,6,2,1,7,3,"Kansas City city, KS",0.233987866763879
"1453",2.02977831301844,31.21,0,4.8,94.55,0,0,1,2,0,6,4,"Shreveport city, LA",-0.335199528601303
"1454",2.1540659228538,7.38,2.94,20.56,19.58,0.79,3.22,1,2,0,6,4,"Shreveport city, LA",0.752555076540648
"1455",2.09045449603669,37.95,7.42,7.85,79.93,1.01,5.77,1,2,0,6,4,"Shreveport city, LA",-0.280408762690524
"1456",2.77668867538296,32.75,7.12,3.4,75.43,1.99,1.38,1,2,0,6,4,"Shreveport city, LA",0.429921330435197
"1457",1.81659021245849,6.11,2.57,35.59,5.95,1.39,4.28,1,2,0,7,2,"Independence city, MO",-0.0126876420630541
"1458",1.8411952639522,23.77,5.44,7.98,15.58,0,11.4,1,2,0,7,2,"Independence city, MO",-0.517871379935019
"1459",2.00748598998847,13.87,4.18,17.29,6.94,1.56,14.85,1,2,0,7,2,"Independence city, MO",-0.0861059008806646
"1460",1.97484176581315,2.03,2.36,20.5,4.42,3.06,6.43,1,2,0,7,2,"Independence city, MO",0.0278410473269936
"1461",1.98997487421324,4.74,4.87,23.23,3.88,1.49,0.78,1,2,0,7,2,"Independence city, MO",0.0011844326061194
"1462",2.69629375254255,8.11,3.35,14.54,8.39,4.06,9.28,1,2,0,7,2,"Independence city, MO",0.60161159769437
"1463",0.469041575982343,8.24,2.49,22.81,34.81,0,2.96,1,2,0,6,4,"Shreveport city, LA",-1.05520032530892
"1464",1.75783958312469,10.56,4.79,26.48,26.3,7.34,0.92,1,2,0,6,4,"Shreveport city, LA",0.307909506433211
"1465",1.38202749610853,4.99,0.32,36.61,0.08,5.56,10.63,1,2,0,6,4,"Metairie CDP, LA",-0.00105778271678829
"1466",1.01488915650922,1.1,1.59,41.06,2.9,0,2.08,1,2,0,6,4,"Metairie CDP, LA",-0.37818317263299
"1467",1.25299640861417,2.91,2.33,47.1,1.63,0.89,5.22,1,2,0,6,4,"Metairie CDP, LA",-0.0818051563832749
